2 1 1 h2,keep roll roll,-9
2 2 1 h1,roll keep roll,10
5 2 1 h2,roll keep keep,0
6 2 1 h1,roll roll roll,1
6 6 3 h2,keep roll keep,0
6 3 2 h1,keep keep keep,1
6 4 2 h2,keep keep roll,0
6 4 4 h1,roll roll roll,1
6 2 1 h2,keep roll keep,9
6 1 1 h1,keep keep keep,1
5 3 1 h2,keep roll keep,9
5 1 1 h1,roll keep roll,-8
6 4 2 h2,keep keep roll,0
6 4 3 h1,keep roll keep,1
5 3 2 h2,keep roll roll,0
6 5 1 h1,roll roll roll,1
6 3 2 h2,keep keep roll,0
6 6 3 h1,roll keep keep,1
5 2 2 h2,keep roll roll,0
5 5 4 h1,roll keep roll,1
5 2 1 h2,roll keep roll,0
5 2 2 h1,roll keep keep,25
6 4 4 h2,roll roll keep,0
6 4 2 h1,keep roll roll,1
4 3 2 h2,roll keep keep,0
6 3 2 h1,roll roll roll,1
6 5 4 h2,roll roll roll,0
6 5 1 h1,roll keep keep,1
5 5 4 h2,keep keep roll,0
5 5 1 h1,keep roll roll,1
4 4 2 h2,keep keep keep,0
4 4 2 h1,roll keep roll,25
2 2 1 h2,keep roll keep,0
6 2 1 h1,keep keep keep,1
3 3 1 h2,roll keep keep,0
4 3 1 h1,roll keep keep,1
5 2 1 h2,roll keep keep,99
4 3 2 h2,roll keep keep,0
3 2 2 h1,roll keep roll,1
6 3 1 h2,roll keep roll,0
6 3 3 h1,keep roll keep,1
6 6 3 h2,keep keep roll,0
6 6 1 h1,keep roll roll,1
3 3 1 h2,roll keep keep,9
3 1 1 h1,keep keep roll,1
4 3 3 h2,keep keep keep,0
4 3 3 h1,keep roll roll,1
5 1 1 h2,keep keep keep,0
5 1 1 h1,keep keep keep,10
6 5 3 h2,keep roll roll,0
6 6 5 h1,roll keep roll,1
4 3 1 h2,roll roll roll,0
6 3 1 h1,roll keep keep,10
5 4 2 h2,roll keep roll,0
5 4 3 h1,roll keep keep,1
3 3 2 h2,keep keep roll,0
6 3 3 h1,roll roll keep,1
5 4 1 h2,keep roll keep,0
5 2 1 h1,roll roll roll,1
4 3 1 h2,keep keep roll,0
4 4 3 h1,roll keep roll,1
6 3 2 h2,keep keep roll,0
6 6 3 h1,keep keep keep,1
6 3 2 h2,roll keep keep,0
3 2 1 h1,keep roll roll,1
5 2 2 h2,keep roll keep,0
5 2 2 h1,roll roll keep,1
6 4 2 h2,keep roll roll,0
6 6 4 h1,roll roll keep,1
5 4 4 h2,roll roll roll,0
6 5 3 h1,roll keep roll,1
4 3 1 h2,roll keep keep,0
4 3 1 h1,roll keep roll,1
5 4 3 h2,keep roll roll,0
5 5 3 h1,roll keep keep,1
6 5 3 h2,roll keep keep,0
5 5 3 h1,roll roll keep,1
6 4 2 h2,keep roll roll,0
6 5 4 h1,roll keep keep,1
5 5 2 h2,roll keep roll,0
6 5 3 h1,roll keep roll,1
4 4 1 h2,keep keep keep,0
4 4 1 h1,keep keep roll,1
5 5 3 h2,keep roll keep,0
5 3 2 h1,keep keep roll,1
6 4 2 h2,roll roll keep,0
6 4 2 h1,roll roll keep,1
6 4 3 h2,roll roll keep,0
6 3 2 h1,keep keep roll,1
6 5 2 h2,roll keep keep,0
5 5 2 h1,keep keep roll,1
5 4 1 h2,keep keep roll,0
5 4 3 h1,keep keep keep,1
6 4 3 h2,keep keep keep,0
6 4 3 h1,roll keep roll,1
3 2 1 h2,keep roll roll,0
6 3 1 h1,roll roll roll,1
6 3 2 h2,keep roll roll,0
6 6 5 h1,keep roll keep,1
6 5 2 h2,keep roll roll,0
6 6 5 h1,roll keep keep,1
3 2 1 h2,keep keep keep,0
3 2 1 h1,keep keep roll,1
6 5 1 h2,keep roll roll,0
6 6 5 h1,roll keep keep,1
3 2 1 h2,keep roll roll,0
6 4 3 h1,keep roll keep,1
6 3 2 h2,roll keep keep,0
5 3 2 h1,roll roll keep,1
5 3 1 h2,roll roll keep,0
6 2 1 h1,roll roll roll,10
3 2 1 h2,roll roll keep,0
3 2 1 h1,roll roll keep,1
4 3 3 h2,keep roll roll,0
6 6 4 h1,keep roll roll,1
5 1 1 h2,keep roll keep,-9
5 2 1 h1,roll roll keep,10
3 1 1 h2,roll keep roll,90
6 5 3 h2,keep roll keep,0
6 6 3 h1,roll roll roll,1
5 5 4 h2,roll roll keep,0
6 6 4 h1,keep roll keep,1
